,Real,Previsto
2022-01-01,0.54,0.7321779
2022-02-01,1.01,0.58908045
2022-03-01,1.62,0.8307582
2022-04-01,1.06,1.2511061
2022-05-01,0.47,1.0334902
2022-06-01,0.67,0.62355804
2022-07-01,-0.68,0.67055726
2022-08-01,-0.36,-0.115114845
2022-09-01,-0.29,-0.04817954
2022-10-01,0.59,0.01270741
2022-11-01,0.41,0.5221016
2022-12-01,0.62,0.5807126
2023-01-01,0.53,0.73520386
2023-02-01,0.84,0.70690775
2023-03-01,0.71,0.83340037
2023-04-01,0.61,0.7317619
2023-05-01,0.23,0.6289407
2023-06-01,-0.08,0.39255205
2023-07-01,0.12,0.15718149
2023-08-01,0.23,0.22368513
2023-09-01,0.26,0.32396057
2023-10-01,0.24,0.39345703
2023-11-01,0.28,0.4058092
2023-12-01,0.56,0.4354106
2024-01-01,0.42,0.5870855
2024-02-01,0.83,0.54359466
2024-03-01,0.16,0.7234723
2024-04-01,0.38,0.40117937
2024-05-01,0.46,0.41509977
2024-06-01,0.21,0.45896628
2024-07-01,0.38,0.35669294
2024-08-01,-0.02,0.42285618
2024-09-01,0.44,0.24202964
2024-10-01,0.56,0.44201612
2024-11-01,0.39,0.5690215
2024-12-01,0.52,0.5167004
