,valor
2025-10-01,0.4635443
2025-11-01,0.5166084
2025-12-01,0.5599759
2026-01-01,0.58072066
2026-02-01,0.5932762
2026-03-01,0.5571171
2026-04-01,0.5248856
2026-05-01,0.49641714
2026-06-01,0.47875628
2026-07-01,0.47156745
2026-08-01,0.47442946
2026-09-01,0.49584043
2026-10-01,0.5123894
2026-11-01,0.528105
2026-12-01,0.5397583
2027-01-01,0.546022
2027-02-01,0.54699236
2027-03-01,0.54346573
2027-04-01,0.5380715
2027-05-01,0.5327586
2027-06-01,0.5289854
2027-07-01,0.52749443
2027-08-01,0.5283061
2027-09-01,0.53092766
